Haggai,1,15,So they began this work on the 24th day of the sixth month in the second year Darius was the king.
Haggai,2,1,"On the 21st day of the seventh month, this message from the LORD came to Haggai"
Haggai,2,2,"“Speak to Zerubbabel son of Shealtiel, the governor of Judah, and to Joshua son of Jehozadak, the high priest, and to all the people. Say this"
Haggai,2,3,‘How many of you people look at this Temple and try to compare it to the beautiful Temple that was destroyed? What do you think? Does this Temple seem like nothing when you compare it with the first Temple?
Haggai,2,4,"But the LORD says, “Zerubbabel, don’t be discouraged!” And the says, “Zerubbabel, don’t be discouraged!” And the LORD says, “Joshua son of Jehozadak, you are the high priest. Don’t be discouraged! And all you people who live in the land, don’t be discouraged! Continue this work, because I am with you.” This is what the says, “Joshua son of Jehozadak, you are the high priest. Don’t be discouraged! And all you people who live in the land, don’t be discouraged! Continue this work, because I am with you.” This is what the LORD All-Powerful said."
Haggai,2,5,"“‘I made an agreement with you when you left Egypt, and I have kept my promise. My Spirit is with you, so don’t be afraid!’"
Haggai,2,6,"This is what the LORD All-Powerful said, ‘In just a little while, I will once again shake things up. I will shake heaven and earth, and I will shake the sea and the dry land."
Haggai,2,7,"I will shake up the nations, and they will come to you with wealth from every nation. And then I will fill this Temple with glory.’ That is what the LORD All-Powerful said!"
Haggai,2,8,‘All their silver really belongs to me! And all the gold is mine!’ This is what the LORD All-Powerful said.
Haggai,2,9,"And the LORD All-Powerful said, ‘This last Temple will be more beautiful than the first one, and I will bring peace to this place.’ Remember, this is what the All-Powerful said, ‘This last Temple will be more beautiful than the first one, and I will bring peace to this place.’ Remember, this is what the LORD All-Powerful said.”"
Haggai,2,10,"On the 24th day of the ninth month in the second year Darius was king of Persia, this message from the LORD came to Haggai the prophet"
Haggai,2,11,“The LORD All-Powerful commands you to ask the priests what the law says about these things
Haggai,2,12,"‘Suppose a man carries some meat in the fold of his clothes. This meat is part of a sacrifice, so it is holy. If his clothes touch some bread, cooked food, wine, oil, or some other food, will the thing the clothes touch become holy?’”
The priests answered, “No.”"
Haggai,2,13,"Then Haggai said, “Whoever touches a dead body will become unclean. Now if they touch anything else, will it also become unclean?”
The priests answered, “Yes, it will become unclean.”"
Haggai,2,14,"Then Haggai said, “This is what the LORD God said: ‘This is also true for the people of this nation. They were not pure and holy before me. So anything they did with their hands and anything they offered at the altar became unclean."
Haggai,2,15,“‘Think about what has happened to you. Think about how things were before you began working on the LORD’s Temple.
Haggai,2,16,"People wanted 20 measures of grain, but there were only 10 measures in the pile. People wanted to get 50 jars of wine from the wine vat, but there were only 20."
Haggai,2,17,"That was because I punished you. I sent the diseases that killed your plants and the hail that destroyed the things you made with your hands. I did this, but still you did not come to me.’ This is what the LORD said."
Haggai,2,18,"“The Lord said, ‘Today is the 24th day of the ninth month. You have finished laying the foundation of the LORD’s Temple. So notice what happens from this day forward"
Haggai,2,19,"Your seed for planting is still in the barn. And look at the vines, the fig trees, and the pomegranate and olive trees. They have not yet produced any fruit. But beginning today, I will bless you.’”"
Haggai,2,20,Another message from the LORD came to Haggai on the 24th day of the month. This is the message
Haggai,2,21,"“Go to Zerubbabel, the governor of Judah and tell him that I will shake heaven and earth."
Haggai,2,22,"And I will overthrow many kings and kingdoms and destroy the power of the kingdoms of those other people. I will destroy their chariots and their riders. I will defeat their war horses and riders. These armies are friends now, but they will turn against each other and kill each other with swords.”"
Haggai,2,23,"This is what the LORD All-Powerful says: “Zerubbabel son of Shealtiel, my servant, I have chosen you. I, the All-Powerful says: “Zerubbabel son of Shealtiel, my servant, I have chosen you. I, the LORD, tell you that at that time I will use you like a signet ring to represent my authority!”
This is what the LORD All-Powerful said."
